Gruppe,Wiederholung,Tiefe,Streifen,Wert
G5,W2,7,L5,2
G5,W2,7,L6,0
G5,W2,7,L7,1
G5,W2,7,L8,1
G5,W2,7,L9,2
G5,W2,7.5,L1,1
G5,W2,7.5,L2,0
G5,W2,7.5,L3,1
G5,W2,7.5,L4,1
G5,W2,7.5,L5,2
G5,W2,7.5,L6,0
G5,W2,7.5,L7,1
G5,W2,7.5,L8,1
G5,W2,7.5,L9,1
G5,W2,8,L1,1
G5,W2,8,L2,1
G5,W2,8,L3,2
G5,W2,8,L4,1
G5,W2,8,L5,2
G5,W2,8,L6,1
G5,W2,8,L7,1
G5,W2,8,L8,2
G5,W2,8,L9,2
G5,W3,0.5,L1,1
G5,W3,0.5,L2,2
G5,W3,0.5,L3,2
G5,W3,0.5,L4,2
G5,W3,0.5,L5,2
G5,W3,0.5,L6,2
G5,W3,0.5,L7,1
G5,W3,0.5,L8,2
G5,W3,0.5,L9,2
G5,W3,1,L1,1
G5,W3,1,L2,2
G5,W3,1,L3,1
G5,W3,1,L4,2
G5,W3,1,L5,2
G5,W3,1,L6,1
G5,W3,1,L7,1
G5,W3,1,L8,2
G5,W3,1,L9,2
G5,W3,1.5,L1,1
G5,W3,1.5,L2,2
G5,W3,1.5,L3,1
G5,W3,1.5,L4,2
G5,W3,1.5,L5,2
G5,W3,1.5,L6,2
G5,W3,1.5,L7,1
G5,W3,1.5,L8,2
G5,W3,1.5,L9,0
G5,W3,2,L1,1
G5,W3,2,L2,1
G5,W3,2,L3,0
G5,W3,2,L4,2
G5,W3,2,L5,2
G5,W3,2,L6,2
G5,W3,2,L7,1
G5,W3,2,L8,2
G5,W3,2,L9,0
G5,W3,2.5,L1,2
G5,W3,2.5,L2,0
G5,W3,2.5,L3,2
G5,W3,2.5,L4,2
G5,W3,2.5,L5,1
G5,W3,2.5,L6,2
G5,W3,2.5,L7,1
G5,W3,2.5,L8,2
G5,W3,2.5,L9,0
G5,W3,3,L1,1
G5,W3,3,L2,1
G5,W3,3,L3,2
G5,W3,3,L4,2
G5,W3,3,L5,0
G5,W3,3,L6,2
G5,W3,3,L7,0
G5,W3,3,L8,2
G5,W3,3,L9,0
G5,W3,3.5,L1,1
G5,W3,3.5,L2,1
G5,W3,3.5,L3,2
G5,W3,3.5,L4,2
G5,W3,3.5,L5,2
G5,W3,3.5,L6,2
G5,W3,3.5,L7,0
G5,W3,3.5,L8,2
G5,W3,3.5,L9,0
G5,W3,4,L1,1
G5,W3,4,L2,1
G5,W3,4,L3,2
G5,W3,4,L4,2
G5,W3,4,L5,1
G5,W3,4,L6,2
G5,W3,4,L7,0
G5,W3,4,L8,2
G5,W3,4,L9,0
G5,W3,4.5,L1,1
G5,W3,4.5,L2,0
G5,W3,4.5,L3,2
G5,W3,4.5,L4,2
G5,W3,4.5,L5,1
G5,W3,4.5,L6,1
G5,W3,4.5,L7,0
G5,W3,4.5,L8,0
G5,W3,4.5,L9,0
G5,W3,5,L1,2
G5,W3,5,L2,0
G5,W3,5,L3,2
G5,W3,5,L4,1
G5,W3,5,L5,1
G5,W3,5,L6,1
G5,W3,5,L7,1
G5,W3,5,L8,1
G5,W3,5,L9,2
G5,W3,5.5,L1,2
G5,W3,5.5,L2,0
G5,W3,5.5,L3,2
G5,W3,5.5,L4,1
G5,W3,5.5,L5,2
G5,W3,5.5,L6,0
G5,W3,5.5,L7,1
G5,W3,5.5,L8,1
G5,W3,5.5,L9,0
G5,W3,6,L1,2
G5,W3,6,L2,0
G5,W3,6,L3,2
G5,W3,6,L4,1
G5,W3,6,L5,1
G5,W3,6,L6,1
G5,W3,6,L7,1
G5,W3,6,L8,2
G5,W3,6,L9,0
G5,W3,6.5,L1,2
G5,W3,6.5,L2,0
G5,W3,6.5,L3,2
G5,W3,6.5,L4,1
G5,W3,6.5,L5,1
G5,W3,6.5,L6,0
G5,W3,6.5,L7,1
G5,W3,6.5,L8,1
G5,W3,6.5,L9,0
G5,W3,7,L1,2
G5,W3,7,L2,1
G5,W3,7,L3,2
G5,W3,7,L4,1
G5,W3,7,L5,1
G5,W3,7,L6,2
G5,W3,7,L7,1
G5,W3,7,L8,1
G5,W3,7,L9,0
G5,W3,7.5,L1,1
G5,W3,7.5,L2,1
G5,W3,7.5,L3,2
G5,W3,7.5,L4,1
G5,W3,7.5,L5,1
G5,W3,7.5,L6,2
G5,W3,7.5,L7,1
G5,W3,7.5,L8,1
G5,W3,7.5,L9,0
G5,W3,8,L1,1
G5,W3,8,L2,1
G5,W3,8,L3,2
G5,W3,8,L4,1
G5,W3,8,L5,1
G5,W3,8,L6,1
G5,W3,8,L7,2
G5,W3,8,L8,1
G5,W3,8,L9,0
G6,W1,0.5,L1,1
G6,W1,0.5,L2,2
G6,W1,0.5,L3,0
G6,W1,0.5,L4,0
G6,W1,0.5,L5,2
G6,W1,0.5,L6,0
G6,W1,0.5,L7,2
G6,W1,0.5,L8,2
G6,W1,0.5,L9,1
G6,W1,1,L1,1
G6,W1,1,L2,2
G6,W1,1,L3,2
G6,W1,1,L4,0
G6,W1,1,L5,2
G6,W1,1,L6,1
G6,W1,1,L7,0
G6,W1,1,L8,2
G6,W1,1,L9,1
G6,W1,1.5,L1,2
G6,W1,1.5,L2,2
G6,W1,1.5,L3,2
G6,W1,1.5,L4,2
G6,W1,1.5,L5,2
G6,W1,1.5,L6,0
G6,W1,1.5,L7,2
G6,W1,1.5,L8,2
G6,W1,1.5,L9,0
G6,W1,2,L1,2
G6,W1,2,L2,2
G6,W1,2,L3,2
G6,W1,2,L4,2
G6,W1,2,L5,2
G6,W1,2,L6,0
G6,W1,2,L7,1
G6,W1,2,L8,2
G6,W1,2,L9,0
G6,W1,2.5,L1,2
G6,W1,2.5,L2,2
G6,W1,2.5,L3,2
G6,W1,2.5,L4,2
G6,W1,2.5,L5,2
G6,W1,2.5,L6,0
G6,W1,2.5,L7,2
G6,W1,2.5,L8,1
G6,W1,2.5,L9,0
G6,W1,3,L1,2
G6,W1,3,L2,1
G6,W1,3,L3,0
G6,W1,3,L4,0
G6,W1,3,L5,2
G6,W1,3,L6,0
G6,W1,3,L7,1
G6,W1,3,L8,2
G6,W1,3,L9,1
G6,W1,3.5,L1,2
G6,W1,3.5,L2,0
G6,W1,3.5,L3,2
G6,W1,3.5,L4,0
G6,W1,3.5,L5,0
G6,W1,3.5,L6,0
G6,W1,3.5,L7,1
G6,W1,3.5,L8,2
G6,W1,3.5,L9,2
G6,W1,4,L1,2
G6,W1,4,L2,2
G6,W1,4,L3,0
G6,W1,4,L4,0
G6,W1,4,L5,1
G6,W1,4,L6,0
G6,W1,4,L7,2
G6,W1,4,L8,2
G6,W1,4,L9,0
G6,W1,4.5,L1,2
G6,W1,4.5,L2,0
G6,W1,4.5,L3,0
G6,W1,4.5,L4,0
G6,W1,4.5,L5,0
G6,W1,4.5,L6,0
G6,W1,4.5,L7,2
G6,W1,4.5,L8,2
G6,W1,4.5,L9,2
G6,W1,5,L1,2
G6,W1,5,L2,0
G6,W1,5,L3,0
G6,W1,5,L4,0
G6,W1,5,L5,1
G6,W1,5,L6,0
G6,W1,5,L7,1
G6,W1,5,L8,2
G6,W1,5,L9,1
G6,W1,5.5,L1,2
G6,W1,5.5,L2,0
G6,W1,5.5,L3,0
G6,W1,5.5,L4,1
G6,W1,5.5,L5,0
G6,W1,5.5,L6,0
G6,W1,5.5,L7,1
G6,W1,5.5,L8,0
G6,W1,5.5,L9,1
G6,W1,6,L1,2
G6,W1,6,L2,0
G6,W1,6,L3,0
G6,W1,6,L4,0
G6,W1,6,L5,0
G6,W1,6,L6,0
G6,W1,6,L7,0
G6,W1,6,L8,0
G6,W1,6,L9,0
G6,W1,6.5,L1,2
G6,W1,6.5,L2,0
G6,W1,6.5,L3,0
G6,W1,6.5,L4,0
G6,W1,6.5,L5,0
G6,W1,6.5,L6,0
G6,W1,6.5,L7,0
G6,W1,6.5,L8,0
G6,W1,6.5,L9,0
G6,W1,7,L1,2
G6,W1,7,L2,0
G6,W1,7,L3,2
G6,W1,7,L4,0
G6,W1,7,L5,0
G6,W1,7,L6,2
G6,W1,7,L7,0
G6,W1,7,L8,0
G6,W1,7,L9,1
G6,W1,7.5,L1,2
G6,W1,7.5,L2,0
G6,W1,7.5,L3,2
G6,W1,7.5,L4,2
G6,W1,7.5,L5,0
G6,W1,7.5,L6,2
G6,W1,7.5,L7,0
G6,W1,7.5,L8,0
G6,W1,7.5,L9,0
G6,W1,8,L1,2
G6,W1,8,L2,0
G6,W1,8,L3,2
G6,W1,8,L4,2
G6,W1,8,L5,0
G6,W1,8,L6,0
G6,W1,8,L7,0
G6,W1,8,L8,0
G6,W1,8,L9,0
G6,W2,0.5,L1,2
G6,W2,0.5,L2,2
G6,W2,0.5,L3,0
G6,W2,0.5,L4,2
G6,W2,0.5,L5,2
G6,W2,0.5,L6,2
G6,W2,0.5,L7,1
G6,W2,0.5,L8,2
G6,W2,0.5,L9,2
G6,W2,1,L1,2
G6,W2,1,L2,2
G6,W2,1,L3,1
G6,W2,1,L4,1
G6,W2,1,L5,2
G6,W2,1,L6,2
G6,W2,1,L7,2
G6,W2,1,L8,2
G6,W2,1,L9,2
G6,W2,1.5,L1,2
G6,W2,1.5,L2,2
G6,W2,1.5,L3,2
G6,W2,1.5,L4,0
G6,W2,1.5,L5,0
G6,W2,1.5,L6,2
G6,W2,1.5,L7,2
G6,W2,1.5,L8,2
G6,W2,1.5,L9,0
G6,W2,2,L1,1
G6,W2,2,L2,2
G6,W2,2,L3,1
G6,W2,2,L4,0
G6,W2,2,L5,2
G6,W2,2,L6,2
G6,W2,2,L7,2
G6,W2,2,L8,2
G6,W2,2,L9,1
G6,W2,2.5,L1,1
G6,W2,2.5,L2,2
G6,W2,2.5,L3,1
G6,W2,2.5,L4,0
G6,W2,2.5,L5,0
G6,W2,2.5,L6,1
G6,W2,2.5,L7,2
G6,W2,2.5,L8,2
G6,W2,2.5,L9,1
G6,W2,3,L1,0
G6,W2,3,L2,2
G6,W2,3,L3,0
G6,W2,3,L4,1
G6,W2,3,L5,1
G6,W2,3,L6,2
G6,W2,3,L7,2
G6,W2,3,L8,2
G6,W2,3,L9,0
G6,W2,3.5,L1,2
G6,W2,3.5,L2,0
G6,W2,3.5,L3,2
G6,W2,3.5,L4,0
G6,W2,3.5,L5,1
G6,W2,3.5,L6,1
G6,W2,3.5,L7,2
G6,W2,3.5,L8,2
G6,W2,3.5,L9,0
G6,W2,4,L1,1
G6,W2,4,L2,0
G6,W2,4,L3,0
G6,W2,4,L4,2
G6,W2,4,L5,0
G6,W2,4,L6,2
G6,W2,4,L7,0
G6,W2,4,L8,0
G6,W2,4,L9,1
G6,W2,4.5,L1,0
G6,W2,4.5,L2,0
G6,W2,4.5,L3,1
G6,W2,4.5,L4,0
G6,W2,4.5,L5,1
G6,W2,4.5,L6,2
G6,W2,4.5,L7,1
G6,W2,4.5,L8,0
G6,W2,4.5,L9,0
G6,W2,5,L1,0
G6,W2,5,L2,2
G6,W2,5,L3,1
G6,W2,5,L4,1
G6,W2,5,L5,0
G6,W2,5,L6,2
G6,W2,5,L7,1
G6,W2,5,L8,2
G6,W2,5,L9,0
G6,W2,5.5,L1,0
G6,W2,5.5,L2,0
G6,W2,5.5,L3,1
G6,W2,5.5,L4,1
G6,W2,5.5,L5,0
G6,W2,5.5,L6,1
G6,W2,5.5,L7,1
G6,W2,5.5,L8,2
G6,W2,5.5,L9,2
G6,W2,6,L1,0
G6,W2,6,L2,1
G6,W2,6,L3,1
G6,W2,6,L4,2
G6,W2,6,L5,0
G6,W2,6,L6,1
G6,W2,6,L7,1
G6,W2,6,L8,2
G6,W2,6,L9,0
G6,W2,6.5,L1,0
G6,W2,6.5,L2,1
G6,W2,6.5,L3,1
G6,W2,6.5,L4,2
G6,W2,6.5,L5,0
G6,W2,6.5,L6,0
G6,W2,6.5,L7,1
G6,W2,6.5,L8,2
G6,W2,6.5,L9,0
G6,W2,7,L1,0
G6,W2,7,L2,1
G6,W2,7,L3,1
G6,W2,7,L4,1
G6,W2,7,L5,0
G6,W2,7,L6,0
G6,W2,7,L7,1
G6,W2,7,L8,2
G6,W2,7,L9,0
G6,W2,7.5,L1,1
G6,W2,7.5,L2,2
G6,W2,7.5,L3,1
G6,W2,7.5,L4,0
G6,W2,7.5,L5,0
G6,W2,7.5,L6,0
G6,W2,7.5,L7,1
G6,W2,7.5,L8,2
G6,W2,7.5,L9,0
G6,W2,8,L1,2
G6,W2,8,L2,1
G6,W2,8,L3,2
G6,W2,8,L4,0
G6,W2,8,L5,0
G6,W2,8,L6,2
G6,W2,8,L7,0
G6,W2,8,L8,2
G6,W2,8,L9,0
G6,W3,0.5,L1,0
G6,W3,0.5,L2,2
G6,W3,0.5,L3,2
G6,W3,0.5,L4,2
G6,W3,0.5,L5,2
G6,W3,0.5,L6,0
G6,W3,0.5,L7,2
G6,W3,0.5,L8,1
G6,W3,0.5,L9,2
G6,W3,1,L1,2
G6,W3,1,L2,2
G6,W3,1,L3,2
G6,W3,1,L4,2
G6,W3,1,L5,2
G6,W3,1,L6,0
G6,W3,1,L7,2
G6,W3,1,L8,0
G6,W3,1,L9,2
G6,W3,1.5,L1,2
G6,W3,1.5,L2,2
G6,W3,1.5,L3,0
G6,W3,1.5,L4,2
G6,W3,1.5,L5,2
G6,W3,1.5,L6,0
G6,W3,1.5,L7,2
G6,W3,1.5,L8,2
G6,W3,1.5,L9,2
G6,W3,2,L1,2
G6,W3,2,L2,2
G6,W3,2,L3,0
G6,W3,2,L4,2
G6,W3,2,L5,0
G6,W3,2,L6,0
G6,W3,2,L7,2
G6,W3,2,L8,2
G6,W3,2,L9,2
G6,W3,2.5,L1,2
G6,W3,2.5,L2,2
G6,W3,2.5,L3,2
G6,W3,2.5,L4,2
G6,W3,2.5,L5,2
G6,W3,2.5,L6,2
G6,W3,2.5,L7,0
G6,W3,2.5,L8,1
G6,W3,2.5,L9,0
G6,W3,3,L1,2
G6,W3,3,L2,0
G6,W3,3,L3,0
G6,W3,3,L4,0
G6,W3,3,L5,2
G6,W3,3,L6,1
G6,W3,3,L7,0
G6,W3,3,L8,2
G6,W3,3,L9,2
G6,W3,3.5,L1,2
G6,W3,3.5,L2,2
G6,W3,3.5,L3,2
G6,W3,3.5,L4,2
G6,W3,3.5,L5,2
G6,W3,3.5,L6,0
G6,W3,3.5,L7,2
G6,W3,3.5,L8,2
G6,W3,3.5,L9,2
G6,W3,4,L1,2
G6,W3,4,L2,2
G6,W3,4,L3,1
G6,W3,4,L4,2
G6,W3,4,L5,2
G6,W3,4,L6,0
G6,W3,4,L7,2
G6,W3,4,L8,2
G6,W3,4,L9,2
G6,W3,4.5,L1,2
G6,W3,4.5,L2,0
G6,W3,4.5,L3,0
G6,W3,4.5,L4,2
G6,W3,4.5,L5,1
G6,W3,4.5,L6,0
G6,W3,4.5,L7,2
G6,W3,4.5,L8,2
G6,W3,4.5,L9,0
G6,W3,5,L1,2
G6,W3,5,L2,1
G6,W3,5,L3,2
G6,W3,5,L4,2
G6,W3,5,L5,2
G6,W3,5,L6,1
G6,W3,5,L7,2
G6,W3,5,L8,2
G6,W3,5,L9,2
G6,W3,5.5,L1,2
G6,W3,5.5,L2,2
G6,W3,5.5,L3,2
G6,W3,5.5,L4,2
G6,W3,5.5,L5,2
G6,W3,5.5,L6,0
G6,W3,5.5,L7,2
G6,W3,5.5,L8,1
G6,W3,5.5,L9,1
G6,W3,6,L1,2
G6,W3,6,L2,2
G6,W3,6,L3,2
G6,W3,6,L4,0
G6,W3,6,L5,1
G6,W3,6,L6,0
G6,W3,6,L7,2
G6,W3,6,L8,0
G6,W3,6,L9,0
G6,W3,6.5,L1,2
G6,W3,6.5,L2,1
G6,W3,6.5,L3,0
G6,W3,6.5,L4,2
G6,W3,6.5,L5,2
G6,W3,6.5,L6,2
G6,W3,6.5,L7,2
G6,W3,6.5,L8,2
G6,W3,6.5,L9,0
G6,W3,7,L1,2
G6,W3,7,L2,0
G6,W3,7,L3,2
G6,W3,7,L4,2
G6,W3,7,L5,0
G6,W3,7,L6,2
G6,W3,7,L7,1
G6,W3,7,L8,2
G6,W3,7,L9,0
G6,W3,7.5,L1,2
G6,W3,7.5,L2,0
G6,W3,7.5,L3,0
G6,W3,7.5,L4,0
G6,W3,7.5,L5,0
G6,W3,7.5,L6,2
G6,W3,7.5,L7,0
G6,W3,7.5,L8,2
G6,W3,7.5,L9,0
G6,W3,8,L1,1
G6,W3,8,L2,2
G6,W3,8,L3,0
G6,W3,8,L4,0
G6,W3,8,L5,0
G6,W3,8,L6,2
G6,W3,8,L7,0
G6,W3,8,L8,2
G6,W3,8,L9,0
